date,suburb,tmin,tmax,prcp,humidity_mean,daily_temp_range,month,is_summer,hot_day,poor_cooling_proxy
2020-09-03,Parramatta,14.8,29.8,0.0,51.17188,15.0,9,0,1,0
2020-09-04,Parramatta,15.5,21.0,0.0,44.171963,5.5,9,0,0,0
2020-09-05,Parramatta,11.0,22.5,7.0,53.60358,11.5,9,0,0,0
2020-09-06,Parramatta,7.2,19.3,0.0,51.373592,12.100000000000001,9,0,0,0
2020-09-07,Parramatta,7.2,22.5,0.0,51.616676,15.3,9,0,0,0
2020-09-08,Parramatta,7.8,25.6,0.0,40.583225,17.8,9,0,1,0
2020-09-09,Parramatta,13.2,16.5,1.6,52.534286,3.3000000000000007,9,0,0,0
2020-09-10,Parramatta,9.0,18.4,8.0,60.51963,9.399999999999999,9,0,0,0
2020-09-11,Parramatta,8.6,19.8,0.6,56.470207,11.200000000000001,9,0,0,0
2020-09-12,Parramatta,7.6,23.8,0.0,52.937252,16.200000000000003,9,0,0,0
2020-09-13,Parramatta,8.0,24.8,0.0,44.357983,16.8,9,0,0,0
2020-09-14,Parramatta,8.0,22.0,0.2,43.57452,14.0,9,0,0,0
2020-09-15,Parramatta,11.3,24.2,0.0,48.16506,12.899999999999999,9,0,0,0
2020-09-16,Parramatta,9.5,28.0,0.0,42.971584,18.5,9,0,1,0
2020-09-17,Parramatta,11.6,30.8,0.0,53.3432,19.200000000000003,9,0,1,0
2020-09-18,Parramatta,14.8,17.4,0.0,65.889404,2.599999999999998,9,0,0,0
2020-09-19,Parramatta,14.5,23.0,1.6,66.419716,8.5,9,0,0,0
2020-09-20,Parramatta,10.0,24.0,4.0,68.18424,14.0,9,0,0,0
2020-09-21,Parramatta,12.6,29.7,6.2,76.42205,17.1,9,0,1,0
2020-09-22,Parramatta,18.4,24.2,0.0,78.293274,5.800000000000001,9,0,0,0
2020-09-23,Parramatta,11.0,23.5,0.0,73.9443,12.5,9,0,0,0
2020-09-24,Parramatta,9.0,21.4,0.0,57.05604,12.399999999999999,9,0,0,0
2020-09-25,Parramatta,6.7,23.3,0.0,64.88028,16.6,9,0,0,0
2020-09-26,Parramatta,7.8,17.6,0.4,59.46807,9.8,9,0,0,0
2020-09-27,Parramatta,7.0,18.5,0.0,42.017353,11.5,9,0,0,0
2020-09-28,Parramatta,7.5,20.5,0.0,42.727055,13.0,9,0,0,0
2020-09-29,Parramatta,8.0,19.6,0.0,42.10096,11.600000000000001,9,0,0,0
