date,suburb,tmax,tmin,daily_temp_range,night_start_time,night_min_time,night_start_temp,night_min_temp,night_hours_to_min,night_total_hours,night_cooling_rate,hot_day,cooling_failure,cooling_risk_category,humidity_mean,wind_speed_mean,air_pressure_mean,precipitation_total,month,is_summer
2020-03-26,Parramatta,23.446106,17.342499,6.103607,2020-03-26 18:00:00,2020-03-26 19:00:00,17.371948,17.342499,1.0,11.0,0.029448999999999614,0,0,Not hot day,83.27063258333334,3.890820745833333,1014.5369933333333,15.54918291,3,0
2020-03-27,Parramatta,21.593231,16.067474,5.525756999999999,2020-03-27 18:00:00,2020-03-27 18:00:00,16.89682,16.89682,0.0,11.0,0.0,0,0,Not hot day,82.079819125,2.3850203083333334,1018.3778408333333,2.2182464645,3,0
2020-03-28,Parramatta,22.429352,13.460297,8.969055,2020-03-28 18:00:00,2020-03-28 18:00:00,13.460297,13.460297,0.0,11.0,0.0,0,0,Not hot day,78.88065870833333,2.1738392625,1017.9186141666668,0.44775009210000005,3,0
2020-03-29,Parramatta,23.104034,17.814392,5.289641999999997,2020-03-29 18:00:00,2020-03-29 18:00:00,17.854889,17.854889,0.0,11.0,0.0,0,0,Not hot day,84.997766875,2.059787254166667,1014.1789770833334,8.239746074,3,0
2020-03-30,Parramatta,24.43277,18.370361,6.062409000000002,2020-03-30 18:00:00,2020-03-30 19:00:00,18.594269,18.580292,1.0,11.0,0.013977000000000572,0,0,Not hot day,85.99558904166668,2.1245343308333333,1008.1397979166667,1.5263557603,3,0
2020-03-31,Parramatta,25.378723,14.791534,10.587189,2020-03-31 18:00:00,2020-03-31 18:00:00,14.791534,14.791534,0.0,11.0,0.0,0,0,Not hot day,82.996340125,1.743898795,1006.5555733333334,2.1791458044,3,0
2020-04-01,Parramatta,26.751373,18.606293,8.14508,2020-04-01 18:00:00,2020-04-01 18:00:00,18.606293,18.606293,0.0,11.0,0.0,1,1,Extreme risk,84.05486275,1.9048672141666667,1010.4998375,1.9888878072,4,0
2020-04-02,Parramatta,24.320862,17.600891,6.719971000000001,2020-04-02 18:00:00,2020-04-02 18:00:00,17.600891,17.600891,0.0,11.0,0.0,0,0,Not hot day,85.91548516666667,2.7649884541666663,1009.1314779166668,2.77423859766,4,0
2020-04-03,Parramatta,23.87259,16.560486,7.312103999999998,2020-04-03 18:00:00,2020-04-03 18:00:00,16.635468,16.635468,0.0,11.0,0.0,0,0,Not hot day,88.88742020833332,2.434621125,1003.1269379166666,6.34098049342,4,0
2020-04-04,Parramatta,25.657227,20.30075,5.356476999999998,2020-04-04 18:00:00,2020-04-05 05:00:00,20.393799,20.224579,11.0,11.0,0.01538363636363662,0,0,Not hot day,81.00016679166667,4.2102239416666665,994.7046320833333,15.16103749766,4,0
2020-04-05,Parramatta,25.684967,11.907257,13.77771,2020-04-05 18:00:00,2020-04-05 18:00:00,17.095001,17.095001,0.0,11.0,0.0,0,0,Not hot day,52.613351,4.116059030769231,1001.6289565384615,0.0,4,0
2020-04-06,Parramatta,23.90503,11.434723,12.470307,2020-04-06 18:00:00,2020-04-06 18:00:00,16.782928,16.782928,0.0,11.0,0.0,0,0,Not hot day,60.87552804166666,2.6712283583333334,1008.3451129166666,0.040054321000000004,4,0
2020-04-07,Parramatta,22.961578,14.862671,8.098906999999999,2020-04-07 18:00:00,2020-04-08 05:00:00,17.33435,17.33017,11.0,11.0,0.0003800000000001479,0,0,Not hot day,76.08946529166667,2.9956471125,1013.1488016666667,1.2640952921,4,0
2020-04-08,Parramatta,20.319366,14.536163,5.7832029999999985,2020-04-08 18:00:00,2020-04-08 18:00:00,16.36148,16.36148,0.0,11.0,0.0,0,0,Not hot day,83.75615325,1.8991541625000001,1013.7372070833334,4.8217773664,4,0
2020-04-09,Parramatta,21.604706,15.92804,5.676666000000001,2020-04-09 18:00:00,2020-04-09 18:00:00,17.39853,17.39853,0.0,11.0,0.0,0,0,Not hot day,84.13857962499999,2.5456417166666667,1017.4608433333333,5.917072226,4,0
2020-04-10,Parramatta,21.65866,16.667206,4.991454000000001,2020-04-10 18:00:00,2020-04-11 05:00:00,17.8414,16.92868,11.0,11.0,0.08297454545454547,0,0,Not hot day,88.260667125,2.1979038208333335,1014.6260050000001,6.8693160368,4,0
2020-04-11,Parramatta,25.460022,12.971222,12.4888,2020-04-11 18:00:00,2020-04-11 18:00:00,18.441711,18.441711,0.0,11.0,0.0,0,0,Not hot day,74.09978879166667,3.6007093125,1001.2759070833334,0.6241798364,4,0
2020-04-12,Parramatta,25.362762,10.186493,15.176269,2020-04-12 18:00:00,2020-04-12 18:00:00,14.31073,14.31073,0.0,11.0,0.0,0,0,Not hot day,46.11693116666667,4.731946616666667,1003.0303387499999,0.0,4,0
2020-04-13,Parramatta,21.350677,7.4487,13.901977000000002,2020-04-13 18:00:00,2020-04-13 18:00:00,12.503906,12.503906,0.0,11.0,0.0,0,0,Not hot day,72.61788708333333,1.5304460870833332,1011.4213895833333,0.0,4,0
2020-04-14,Parramatta,24.589203,9.668243,14.920960000000001,2020-04-14 18:00:00,2020-04-14 18:00:00,13.983185,13.983185,0.0,11.0,0.0,0,0,Not hot day,78.60272941666666,1.6125602166666668,1015.0676766666667,0.0009536743,4,0
2020-04-15,Parramatta,27.25473,12.153595,15.101135,2020-04-15 18:00:00,2020-04-15 18:00:00,15.441437,15.441437,0.0,11.0,0.0,1,1,Extreme risk,77.630964125,1.4799243041666665,1015.4017937499999,0.0009536743,4,0
